temps, hour, article, father, orgID, type, ordre, article_age, x, y, z, x1, y1, z1,article_length, article_surface, article_volume, article_diameter, article_growth, article_dry_mass, dist_from_base
132.0, 12.0, maize.SegRoot@35432107, maize.SegRoot@3adcc812, 264, 31, 3, 10.0, 0.7034163001901339, -0.1265037411240954, -1.6202798762600954, 0.700834291486507, -0.10409725410402171, -1.6687192953557317, 0.3610656, 0.027269026, 1.6388654E-4, 0.024039954, 0.079459585, 9.269569E-6, 0.0
132.0, 12.0, maize.SegRoot@7b420819, maize.SegRoot@35432107, 264, 31, 3, 3.0, 0.7208498409670137, -0.281851334351204, -1.2948085713737083, 0.7034163001901339, -0.1265037411240954, -1.6202798762600954, 0.07785415, 0.005879837, 3.5337755E-5, 0.024039954, 0.079459585, 1.7958686E-6, 0.0
132.0, 12.0, maize.MerisRoot@52aa2946, maize.SegRoot@7b420819, 264, 31, 3, 66.0, 0.7257092630514851, -0.32730943527654865, -1.2317909863292922, 0.7208498409670137, -0.281851334351204, -1.2948085713737083, 0.024039954, 0.0018155874, 7.2744397E-6, 0.024039954, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@4de5031f, maize.SegRoot@75f9eccc, 251, 30, 2, 66.0, 0.5923896659042123, -0.030533411532656228, -1.9707724967782436, 0.5954376271714353, -0.02314278870396103, -1.970474799857778, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@7a1a14a4, maize.SegRoot@4de5031f, 265, 31, 3, 9.0, 0.5923363056749644, -0.030592914368141728, -1.9707759750274725, 0.5923896659042123, -0.030533411532656228, -1.9707724967782436, 0.26383832, 0.014175149, 6.0604867E-5, 0.017101724, 0.058073103, 3.2845194E-6, 0.0
132.0, 12.0, maize.MerisRoot@67e2d983, maize.SegRoot@7a1a14a4, 265, 31, 3, 66.0, 0.7295607682064043, -0.16831753510328082, -2.1491352506364345, 0.5923363056749644, -0.030592914368141728, -1.9707759750274725, 0.017101724, 9.188183E-4, 2.6188961E-6, 0.017101724, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@5d47c63f, maize.SegRoot@4de5031f, 251, 30, 2, 65.0, 0.587053642979425, -0.036483695081206205, -1.9711203217011237, 0.5923896659042123, -0.030533411532656228, -1.9707724967782436, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@5ea434c8, maize.SegRoot@5d47c63f, 251, 30, 2, 64.0, 0.5805154382676104, -0.04107582246339046, -1.9715255899964261, 0.587053642979425, -0.036483695081206205, -1.9711203217011237, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@3bbc39f8, maize.SegRoot@5ea434c8, 251, 30, 2, 63.0, 0.5739739348046192, -0.04566181800067501, -1.9719467485350521, 0.5805154382676104, -0.04107582246339046, -1.9715255899964261, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@4ae3c1cd, maize.SegRoot@3bbc39f8, 251, 30, 2, 63.0, 0.5671194792339116, -0.04975181960379468, -1.9724837055674593, 0.5739739348046192, -0.04566181800067501, -1.9719467485350521, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@29f69090, maize.SegRoot@4ae3c1cd, 251, 30, 2, 62.0, 0.560449815118013, -0.05411682773718826, -1.9731636185879842, 0.5671194792339116, -0.04975181960379468, -1.9724837055674593, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@568bf312, maize.SegRoot@29f69090, 251, 30, 2, 61.0, 0.5539204662937055, -0.05870270524619331, -1.973744418503526, 0.560449815118013, -0.05411682773718826, -1.9731636185879842, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@ca263c2, maize.SegRoot@568bf312, 251, 30, 2, 61.0, 0.5483467855621982, -0.06430740259443225, -1.9749778883559521, 0.5539204662937055, -0.05870270524619331, -1.973744418503526, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@589b3632, maize.SegRoot@ca263c2, 251, 30, 2, 60.0, 0.5423264912811983, -0.0694730898799481, -1.9760131316980687, 0.5483467855621982, -0.06430740259443225, -1.9749778883559521, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@45f45fa1, maize.SegRoot@589b3632, 251, 30, 2, 59.0, 0.5380383304261249, -0.07613160761983165, -1.9771426515640513, 0.5423264912811983, -0.0694730898799481, -1.9760131316980687, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@4c6e276e, maize.SegRoot@45f45fa1, 251, 30, 2, 58.0, 0.5357838989225819, -0.08370103628693495, -1.978415948618334, 0.5380383304261249, -0.07613160761983165, -1.9771426515640513, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@534df152, maize.SegRoot@4c6e276e, 251, 30, 2, 58.0, 0.5322092318909252, -0.09058668982737231, -1.980367749856377, 0.5357838989225819, -0.08370103628693495, -1.978415948618334, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@52e677af, maize.SegRoot@534df152, 251, 30, 2, 57.0, 0.5308786604231648, -0.09831113448908856, -1.9819685407159968, 0.5322092318909252, -0.09058668982737231, -1.980367749856377, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@35083305, maize.SegRoot@52e677af, 251, 30, 2, 56.0, 0.5296311418453327, -0.10601417006760674, -1.9837311913941018, 0.5308786604231648, -0.09831113448908856, -1.9819685407159968, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
132.0, 12.0, maize.SegRoot@8e0379d, maize.SegRoot@35083305, 251, 30, 2, 55.0, 0.482897435512747, -0.19151315476092945, -2.0062230700807264, 0.5296311418453327, -0.10601417006760674, -1.9837311913941018, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
